fJ@@	Ammonia
dklB@@QmR[fUxUZBBF@@	Aspirin
eF@Hx@	Acetylene
eohZKL@BaekghDLBNAIEMCODj`OBcpX|LddrtbdsTRbrfbRrbrfVNnZjZZjjjhDBhH\`TbVR@@	Adenosine triphosphate
fakpR@FJchuo@BLdTbbJTRlttRVF\dwmUUTsMP@T@@@	Ampicillin
dcLF@@Rag\bbTVTILuSUTaSh@	Chemistry of ascorbic acid
dcLF@@Rag\bbTVTILuSUUGP@	Chemistry of ascorbic acid
deV@@@RYyTYj`@@@	Amphetamine
fjuQP@JV@bVRiLmkMr{pTmUTpTDLHqEP@	Aspartame
fi{qR@FJchuoC@DYHiEDTheYihdmagIM{UUULsT@EPQDqNPJ@@	Amoxicillin
dazD@HADeUfjh@@	Amyl nitrite
e`TXM@@@`LAEMGLakgodifVUoV{UgoZIFeimjjjjjlJBhjjKRBHPaTKbRKqEKjSKY@@	Amygdalin
e`TXM@@@`LAEMGLakgodifVUoV{UgoZIFeimjjjjjlJBhjjIRBHPaTJQ^Hi]RY[H@	Amygdalin
eeb[@KE`JFNAIEMCKNaihJAB`phBJAr`|h@jBJ`RhLj@j`jhFj@BXNP{CbNheb^IDfRUItdr[I\{s`nbyKlnJzkfnzdZYirRQRJJJJJJIXkBNRAJ^JEZIFQFUVYVMA]ICUUUUUUUUUUUU@@Oxxr`jJhZcjAhf`	Boron nitride
fb{TAQPTYpTeZSfE@b`qPDhCTEjAuAz`CPQh@SCd]cb]RVSrQSJUSjS][g]{`}Gdsf\ddTbbRbRQPcRlir`z}jKd~sUUUUUUUUT@C~AX`dLcdAbLIcL@	Boron nitride
gCaa@mnRYh@	Bicarbonate
didD@@QInUxV`@@@	Benzoic acid
gd_l@X@@@@SXRM^avFrEvp|bbbbVRbRbTTrRTVTNbVVbfbRtVfRbTTrRTVQbTVRbtTrRTQas@PdzKOerErUNhr{|axtQJWjMNkWmw{]ApDQTEP@AAADAP@TEEAT@@PPPTET@@PPDP@@AD@@@	Bakelite
eMDARU@	Carbon dioxide
eF`bzN@	Cyanide
gCa``lnwILt@@	Carbonate
eFHPfzN@	Carbon monoxide
fbeQQBJQIKR\`bDQDYsrS]lsvnw`uMUT@Dpadx`@	Chloramphenicol
fcA@@@YEDeLhedihdXleJ\eiwhyjijjjjjjjjaPWEIZUiyQQX@	Cholesterol
fa{qb@BVByoPRFQQQJIIIQZXqQdcA}DmXHJJijjfI`@@	Ciprofloxacin
dg|d@Dq]@\bbbbfJSSimUSTs@@	Caffeine
fdeQ@@DXAdTTtTTRbqUXp_QZh@``A@@@	Carbamazepine
ffshr@C^bVlDXIKPOAJk^y~YWVBUhL\eZjjjhDBjBTgHJJ`@	Cyclic adenosine monophosphate
do}fAhqnEPSSmxeNFUd~_dfyVV{iZjjfZ@@	RDX
ffc`P@H`QxNQQJJIJIZJHiSkQSejB`jFjhhaEqFUh@	Cocaine
fle@B`@QAhbtPzHSDYEDeeEEHe]Q`Xp@UATA@@@	DDT
fjc@`@@ErJJQIFYJSKXgIJlyNVjjjjjjifHQHJJQee@@	Dehydroepiandrosterone
eF@Hh@	Ethylene
dg~D@MBdie]v\kahHBjh@@	MDMA
eMHAIh@	Ethanol
elzxK@@@pDIMDbfk`RVYS\bbTTTtbRfababRTbfbbcVrefLvQ^am]ZjjjjjjjjjfjjjjjjiKBDRb\QRFKqASI]IY[HyPqF\kVVh@	Erythromycin
fnsqbBNNKFkPRAY[vQQQJKJYQIIVLeYp\pPLPTCDq@@@	Flunitrazepam
gJX`BDdvu@@	Glycine
gJX`bDnLiMmP@	Glycine
fbmiP@DTxIPC^SgHheEDjheEdsdeNBuRsUUUUDtkItC@@	Guanosine
dcLF@@siWTify^ajjjjIHRiB`@	Glucose
dcLF@@siWTify^ajjjjjDdITaP@	Glucose
gNq`@fdvkUP@	Gamma-Hydroxybutyric acid
fIS`@	Hydroxide
fmaP@N`QrH|bbtTRTrTTRRqbeiQoYRVoVhHHjjjjZJZbdZVgee@@	Heroin
eMIB`F@chFFPE@@	Heavy water
eFDBc@@	Hydrogen peroxide
ffka`@L`I{HhhdiLdeEEjrWAVR{HXmUUPUAUQPQBhiRt@@	Hydrocodone
f`qaB@AFADYEEDeHUDV\]z@`jfh`@@	Ketamine
fleA`@@QSdTTTRRTqfdcZ\t@@AEL@@@	Ketoprofen
dedJ@@PaeInuffi`@	Α-Ketoglutaric acid
fa{q@@DZjCHhhhddXeEhmEjt\e[WkUUSUADPtRLJr@@	Lysergic acid diethylamide
f`fAsC@HIIVcVpGXGlAGJxwVet~eInmY`FjjY`@@	Lithium citrate
gGadPl\BxB{\YliLCP@	Lithium carbonate
fncAh@@XDkSoQsUnRJJIQISFJF[TeDmUUUUUUURhQDHjSddcJrCBp@	Lactose
ea^P@@@LdbVRRbbvRRbLVRbrTVRdsRuMTmSSMLuSPFdCaLWEiAUTMKUu}@	Lycopene
eFHBL@	Methanol
fjsa`@L`x[IEEEDhidhobTdzp_QSf`jBjJjhZhaTSHjQ`@	Morphine
fle`b@CPt@HrRZIQQQIHytPiZj@F@@@@@	Modafinil
fnca@@H`RYiYgUY~]dIVjh@`B`h@@@	Methadone
gCiahEiJ{\dsP@	Nitrate
do_IAhePSNGSmxgNfUd~_df^UVYjjjY`@	Nitroglycerin
gCi`hEiNyIf`@	Nitric acid
dieH@DXDfyWaZ@@@@	Nicotinamide
eMdhZTeP@	Nitronium ion
eMLRRWhv@	Ozone
fn{`P@B`IXNQQQIRYJIQSZlepSl~KEKUUTETEUEADJbdgP@	Oxycodone
eM@Hz@	Propane
diT`@@rnRfUjEnBA``@	Purine
gFt@AdiTt@@@	Pyrimidine
gJPYhlQxKmqzOZ`@	Phosphate
gJPYXlQxBYr{\^czh@	Phosphate
eFDRNnc@@	Peroxide
gFx@@eJf`@@@	Pyridine
gOq@@drm\@@@@	Phenol
fde`@@@YIEHdhdldQVLGtZjjBhHh@@	Phencyclidine
flua@@F@RYWZYU^cGQBfjjjB`b`@@	PCHP
flua@@N@RYWfYU^cGQBfjjjB`b`@@	4-Phenyl-4-(1-piperidinyl)cyclohexanol
fbu``@N@PdvjmLjoyL\mUUTEAD@@@	PCAA
gFx@@eJfuU@@	Piperidine
fgA`B@N@BDifYWz\d[Uj@H@B@@@	Phenothiazine
fa{P`@I^A[IELeLhmCEDelsbcYKfm@@AEUUTaUMQt}Lpl@@	Quinine
fmwHp@DXYh@huFoHhdheEhleDmDXZ\tXNVfiiBBbjjhpyIST@	Riboflavin
eMCAjiAdHz@	Radon difluoride
deTL@@QdfygFV``@@@	Salicylic acid
gNxhMVDQI[jihd@	Selenocysteine
gNxhmVDSR~RVzjZI@	Selenocysteine
dk]H@ALLbbRfTJiaf@Bfh`@	Serotonin
ffs`P@@`QjjSKLrj|nvC{LTijuUPUATUELqBHtlhiL@@	Scopolamine
fhaPaBDXXH@PGPYpYrJIJKSQHbgFfijjh@@	Sodium thiopental
gJPXHlPDQzt@@	Sulfuric acid
fdyIBDJV]zP@bdyHhdeehhd\T|FfZj@`h@@	Thiamine
e`\TA@@Ek`AC@djmclbbbbbbbvfd|VbRbgFbgcaWPsPMAUEUMMSUET\SQVHj]P@	Tetracycline
f`appCHRtAAkN}BT]J]S[o\dwLmmpeM@QDs@@@	TNT
gOp@DjWkB@@@	Toluene
fjc@`@@ErJIJZIPiSQJcEZ]zNVfjjjjjjfLPejVgeE@@	Testosterone
dk\d@DsmB\bbbTrQXUujjUj`@	Theobromine
dknL@BACR[me]]Zj@BHr@@	Tyrosine
dknLABACSbeInvUuujh@HcH@	Tyrosine
fn{a`@J`xkIEEEDhhdddobLexrPyKV`jBZbjjakBHqY`@	Thebaine
gCe@E`dsP@	Urea
dcll@DpYAmRYV]zzUZief`@	Uric acid
dcll@DqeB]RYUVRhUZhBH@@	Uric acid
dcll@DpYAmRYV]zzU`BJhP@	Uric acid
dcllBDpYAmwdfUg^neX@bjD@@	Uric acid
dcLF@@Rag\bbTVTILuSUTaSh@	Vitamin C
ehRVBH@LKHdmchDLi`@cIICEDdeieEdeDdh]eKCOJnmcej`hJIjiffjb`@@	Sildenafil
ggqF@x@@OPCahBYJaqxBaXaQhmdTTbbbfTTbabbbVTMfalTRtQfTTRtVVLQOAQH\z_MSklnOWfjjjijjZjjjYhFBbhF@@Bj@tHI`QBTIHbaQHTWQReZ`@	Paclitaxel
eMXYCjTfp@	Nitrous oxide
eMXYJWdeP@	Nitrous oxide
difD@FADfyWaZ@@@@	Niacin
dcND@BADf{YU]Zj@@cH@	Phenylalanine
dcNDABADxiR[meUujh@BL`@	Phenylalanine
dcm@@@{IDeCEDUSh@UUECP@	Nicotine
flePR@MA`cA@^FRRXqQJJMJJMjsU@QCUQ@@@	Psilocybin
dev`@@rfeJY{ZxYBBFH@@	Adenine
daFD@BADfyVyjjhr@@	Proline
daFDABADxiR[e[fjjcH@	Proline
daED@DpFRYVkfjY@@	Uracil
daED@DpFRYVkh@`@@	Uracil
gNvHXlZpeZSMy|eJmJh@	Lead(II) azide
do~L@GBnrQSQQIGHUhHbJh@@	Mescaline
eF`BN@	Hydrogen cyanide
fhfXBeNBdkQ`KElavQ{HCd@JtngtaeJjeUPBjk|@@	Potassium ferrocyanide
fjeHX@hFlxBLRUkpXirVDxxtvetayOEyIgZUUYfZjjjifX@@	Pentaerythritol tetranitrate
fnkHB@FRUTDQdTRTrTRbRRRmNZLfnRpACUTEAPP@@	Clozapine
gKaiibB`KnOHKM@@	Calcium carbonate
gNpLADXH\PdjmUP@	Mustard gas
gCaDLHaQBST`@	Phosgene
fluP`@DX@qIeVyeUrT]DJVjZ@@@H@@@	Phenytoin
fnc@K@BLDkUhuADYbFqBSLw_mKK{IASUUUUUUUUJBPlJddcItCDp@	Sucralose
dmvD@E@dfYwVzB@j@@	Dopamine
deVH@DCHhheCSMUUTE@vPY@	Polyvinylpyrrolidone
fIRP@	Hydronium
daFHPBxHa@aIeTjijX@@	Methylchloroisothiazolinone
dcLF@@pYWTiimTfjjjjJHdIL`@	Fructose
